Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2016,1,29,04:00,UTC,0,994.3,100,0,9,-6.3,-6.3,41531,245,4.1,3
2016,1,29,05:00,UTC,0,994.1,100,0,9,-6.3,-6.3,44487,232,3.5,2.7
2016,1,29,06:00,UTC,5,994.3,95,0,9,-11.7,-12.3,8971,217,2.6,1.9
2016,1,29,07:00,UTC,9,994.4,96,0,9,-12.2,-12.7,4677,215,3.4,2.6
2016,1,29,08:00,UTC,2,994.2,100,0,9,-5.5,-5.5,4824,215,4.3,3.2
2016,1,29,09:00,UTC,0,994.1,100,0,9,-3.3,-3.3,30519,215,4.1,2.8
2016,1,29,10:00,UTC,2,993.9,100,0,9,-2.5,-2.5,33260,202,4.4,3.1
2016,1,29,11:00,UTC,8,993.3,100,0,9,-1.3,-1.3,32515,193,8.9,5.8
2016,1,29,12:00,UTC,8,992.8,100,0,8,-0.7,-0.7,38139,203,8.2,5.9
2016,1,29,13:00,UTC,8,992.6,100,0,9,-0.2,-0.2,39279,210,10.4,6
2016,1,29,14:00,UTC,8,991.6,100,0,9,0.1,0.1,37010,200,7.3,5.5
2016,1,29,15:00,UTC,8,990.3,100,0,9,0.4,0.4,31334,179,6.8,5.3
2016,1,29,16:00,UTC,7,988.8,100,0,10,0.6,0.6,8147,164,8.8,5.6
2016,1,29,17:00,UTC,8,986.6,100,1,9,0.8,0.8,11302,154,10.4,6.3
2016,1,29,18:00,UTC,8,984.4,100,1,9,0.9,0.9,6562,158,12.2,7.1
2016,1,29,19:00,UTC,8,982.2,100,0.3,9,1.2,1.2,10617,168,12.5,9
2016,1,29,20:00,UTC,8,979.4,100,0.8,8,1.1,1.1,15449,157,11.7,8.4
2016,1,29,21:00,UTC,8,976.8,100,1.6,8,0.8,0.8,5526,162,12.5,8.4
2016,1,29,22:00,UTC,8,974.6,100,0.5,8,1.4,1.4,11467,179,12.9,9.6
2016,1,29,23:00,UTC,8,974.3,100,1.8,7,1.7,1.7,6261,191,14.4,9.7
2016,1,30,00:00,UTC,7,974.3,100,0,8,2.5,2.5,39114,197,10.4,7.5
2016,1,30,01:00,UTC,3,974.6,95,0,7,2.7,2.1,30736,208,10.7,6.6
2016,1,30,02:00,UTC,7,974.9,92,0,7,2.4,1.3,31098,210,11.2,7.2
2016,1,30,03:00,UTC,6,975,87,0,7,2.7,0.8,34057,214,12.5,8.2
2016,1,30,04:00,UTC,7,975.4,97,0,7,1.6,1.1,29153,216,10.4,7.3
2016,1,30,05:00,UTC,5,976.3,91,0,7,1.9,0.7,31277,218,9.7,6.7
2016,1,30,06:00,UTC,7,976.8,80,0,7,2.6,-0.4,40038,225,10.3,7
2016,1,30,07:00,UTC,4,977.5,77,0,7,2.5,-1.1,40668,215,9.8,6.6
2016,1,30,08:00,UTC,1,978,77,0,7,2.4,-1.3,39250,214,8.8,6.4
2016,1,30,09:00,UTC,0,978.1,75,0,7,2.5,-1.5,36849,213,8.1,5.7
2016,1,30,10:00,UTC,0,978.4,74,0,7,2.5,-1.6,39740,214,12.4,8.1
2016,1,30,11:00,UTC,0,978.8,75,0,7,2.8,-1.1,32958,211,12.2,8.9
2016,1,30,12:00,UTC,5,978.5,81,0,7,2.5,-0.3,19691,202,11.8,8.6
2016,1,30,13:00,UTC,7,978,81,0,6,3,0.1,14810,205,12,8.7
2016,1,30,14:00,UTC,7,977,81,0,7,3,0,16818,203,12.1,8.2
2016,1,30,15:00,UTC,8,976,89,0,7,2.2,0.5,10274,199,12,8.4
2016,1,30,16:00,UTC,7,974.9,98,0.2,7,1.3,1,7330,189,10.1,7.9
2016,1,30,17:00,UTC,7,974.4,97,0,8,1.6,1.3,13518,188,9.5,7.1
2016,1,30,18:00,UTC,6,974.1,87,0,8,2.4,0.5,23595,210,10.9,7.5
2016,1,30,19:00,UTC,4,973.7,80,0,8,2.3,-0.7,36793,212,13.2,8.1
2016,1,30,20:00,UTC,8,974.2,79,0,8,1.9,-1.3,50000,226,8.8,6
2016,1,30,21:00,UTC,7,974.6,77,0,8,1.8,-1.9,43761,222,9,6
2016,1,30,22:00,UTC,2,974.9,80,0,8,0.8,-2.2,48680,212,8.4,6.1
2016,1,30,23:00,UTC,1,974.9,84,0,8,0.2,-2.3,49321,217,8.3,5.4
2016,1,31,00:00,UTC,4,975.3,86,0,8,-0.3,-2.4,45354,204,8.2,5.6
2016,1,31,01:00,UTC,7,975.5,86,0,8,0.1,-2,44800,213,8.6,5.6
2016,1,31,02:00,UTC,7,975.7,88,0,8,-0.1,-1.8,40343,,,
2016,1,31,03:00,UTC,7,976.3,89,0,8,-0.3,-1.8,36009,222,9,5.3
2016,1,31,04:00,UTC,8,976.3,90,0,8,-0.5,-1.9,31041,207,7.9,5.3
2016,1,31,05:00,UTC,7,976.5,92,0,8,-0.7,-1.9,28655,204,6.6,5
2016,1,31,06:00,UTC,7,976.7,93,0,8,-1,-2,25709,197,6.1,4.5
2016,1,31,07:00,UTC,7,977,91,0,8,-0.6,-1.9,27009,203,9.4,5.6
2016,1,31,08:00,UTC,7,977.7,90,0,8,-0.6,-2,27701,210,6,4.1
2016,1,31,09:00,UTC,7,978.2,90,0,8,-0.3,-1.9,30824,226,6,4.3
2016,1,31,10:00,UTC,7,978.6,89,0,8,-0.4,-2,34762,223,6.1,4.3
2016,1,31,11:00,UTC,7,978.6,89,0,8,-0.1,-1.8,37226,209,6.6,4.9
2016,1,31,12:00,UTC,7,979.3,86,0,8,0.3,-1.9,49207,229,5.9,4.2
2016,1,31,13:00,UTC,1,980,90,0,8,-0.7,-2.2,43562,227,4.7,3.5
2016,1,31,14:00,UTC,3,980.6,92,0,8,-0.9,-2.1,45698,216,4.7,3.5
2016,1,31,15:00,UTC,7,981.3,95,0,8,-1.5,-2.2,46170,234,4.6,3.2
2016,1,31,16:00,UTC,5,981.6,98,0,8,-2.7,-3,38172,232,4.5,3.4
2016,1,31,17:00,UTC,2,982.1,99,0,8,-3.3,-3.4,40325,234,3.9,2.6
2016,1,31,18:00,UTC,6,982.2,100,0,8,-3.5,-3.5,41204,235,4.6,3.3
2016,1,31,19:00,UTC,7,982.7,100,0,8,-3.8,-3.8,33124,234,4.5,2.9
2016,1,31,20:00,UTC,8,983.1,100,0,8,-3.8,-3.8,33284,241,4.2,3
2016,1,31,21:00,UTC,7,983.6,100,0,8,-4.1,-4.1,40261,240,3.8,2.8
2016,1,31,22:00,UTC,7,984.5,100,0,8,-4.3,-4.3,41183,234,4.6,3.2
2016,1,31,23:00,UTC,7,985.4,100,0,8,-4.7,-4.7,37970,237,4,2.8
2016,2,1,00:00,UTC,4,986.1,99,0,8,-5.2,-5.3,36056,232,4,3
2016,2,1,01:00,UTC,0,986.8,99,0,8,-5.6,-5.7,41293,241,3.8,3
2016,2,1,02:00,UTC,3,987.2,100,0,8,-6.2,-6.2,30865,232,3.9,2.3
2016,2,1,03:00,UTC,0,987.8,99,0,8,-7,-7.1,33385,236,2.8,2
2016,2,1,04:00,UTC,0,988.4,100,0,8,-6.9,-6.9,33586,240,3.9,2.8
2016,2,1,05:00,UTC,0,988.7,99,0,8,-7.3,-7.4,31296,229,3.7,2.8
2016,2,1,06:00,UTC,0,989.1,99,0,8,-7.7,-7.8,29712,227,4.7,3.4
2016,2,1,07:00,UTC,0,989.8,99,0,8,-8.3,-8.4,29224,220,3.9,3
2016,2,1,08:00,UTC,0,989.9,99,0,8,-6,-6.1,28079,219,4.3,3.3
2016,2,1,09:00,UTC,5,990.3,97,0,8,-5,-5.3,26475,213,4.8,3.4
2016,2,1,10:00,UTC,1,990.4,97,0,8,-3.8,-4.2,34770,219,5.7,3.7
2016,2,1,11:00,UTC,0,990.4,92,0,8,-1.8,-3,46113,225,5.5,3.8
2016,2,1,12:00,UTC,0,990.6,91,0,8,-1.5,-2.8,35062,227,7.3,4.8
2016,2,1,13:00,UTC,0,990.4,87,0,8,-0.8,-2.7,45355,212,6.4,4.4
2016,2,1,14:00,UTC,0,990.2,90,0,8,-1.3,-2.7,44810,219,5.2,3.6
2016,2,1,15:00,UTC,0,989.7,92,0,8,-2.4,-3.5,42352,201,5.4,4
2016,2,1,16:00,UTC,6,989,94,0,8,-2.3,-3.1,47648,206,6.6,4.4
2016,2,1,17:00,UTC,7,988.4,94,0,8,-2.1,-3,47713,200,5.9,4.1
2016,2,1,18:00,UTC,8,987.5,94,0,8,-2.3,-3.1,45508,189,6.4,4.9
2016,2,1,19:00,UTC,8,986.7,93,0,8,-2,-3,50000,185,9.1,6.3
2016,2,1,20:00,UTC,8,985.5,91,0,8,-1.8,-3,48927,186,8.2,6
2016,2,1,21:00,UTC,7,984.6,90,0,8,-1.8,-3.2,45478,186,10.7,6.8
2016,2,1,22:00,UTC,8,983.3,90,0,8,-1.6,-3.1,50000,178,8.3,6.2
2016,2,1,23:00,UTC,7,982,91,0,8,-1.7,-3,43377,164,7.7,5.4
2016,2,2,00:00,UTC,7,980.6,96,0.5,11,-1.8,-2.4,6858,161,7.1,4.8
2016,2,2,01:00,UTC,8,978.7,100,0,8,-1.9,-1.9,1503,136,6,3.7
2016,2,2,02:00,UTC,8,976.9,100,0.5,10,-1.8,-1.8,2234,130,4.8,3.4
2016,2,2,03:00,UTC,8,975.2,100,0.7,10,-1.6,-1.6,3527,111,5.6,3.7
2016,2,2,04:00,UTC,8,973.8,100,0,11,-1.4,-1.4,3343,105,6.4,3.9
2016,2,2,05:00,UTC,7,972.8,100,0,11,-1.2,-1.2,5537,106,5.6,3.5
2016,2,2,06:00,UTC,8,972,100,0,11,-1.3,-1.3,3275,99,4.5,2.9
2016,2,2,07:00,UTC,8,971.6,100,0,11,-1.3,-1.3,4428,88,5,3.1
2016,2,2,08:00,UTC,8,971.6,100,0.5,11,-1.2,-1.2,6387,83,3.9,2.4
2016,2,2,09:00,UTC,8,971.5,100,0,10,-1.2,-1.2,11075,76,3.4,2.3
2016,2,2,10:00,UTC,8,971.6,100,0,11,-1.1,-1.1,12718,57,2.4,1.6
2016,2,2,11:00,UTC,8,971.9,100,0.7,12,-1.2,-1.2,902,25,2.5,1.9
2016,2,2,12:00,UTC,8,972.4,100,0.2,14,-0.8,-0.8,2370,5,3.4,2.7
2016,2,2,13:00,UTC,8,973,100,0.7,14,-1,-1,1651,345,4.1,3.4
2016,2,2,14:00,UTC,7,973.8,100,0.5,15,-1.2,-1.2,7720,335,5,4
2016,2,2,15:00,UTC,8,974.6,100,0,14,-1.4,-1.4,8862,339,4.3,3.5
2016,2,2,16:00,UTC,8,975.5,100,0,14,-1.5,-1.5,14978,331,5.7,4.1
2016,2,2,17:00,UTC,7,976.3,100,0,14,-1.9,-1.9,48778,335,5.7,4.2
2016,2,2,18:00,UTC,8,976.9,100,0,14,-1.9,-1.9,38965,329,4,2.7
2016,2,2,19:00,UTC,8,977.4,100,0,14,-1.9,-1.9,35025,323,3.1,1.9
2016,2,2,20:00,UTC,8,978.3,100,0,14,-1.8,-1.8,29376,295,3.6,2.3
2016,2,2,21:00,UTC,8,978.7,100,0,14,-1.8,-1.8,21259,309,5.3,3.8
2016,2,2,22:00,UTC,7,979,100,0,14,-2.1,-2.1,25413,329,5.9,3.8
2016,2,2,23:00,UTC,8,979.5,100,0,14,-2.4,-2.4,22585,322,4.3,3.3
2016,2,3,00:00,UTC,8,980.2,100,0,14,-2.6,-2.6,26585,306,3.3,2.5
2016,2,3,01:00,UTC,8,980.7,100,0,14,-3.1,-3.1,31408,300,3.3,2.5
2016,2,3,02:00,UTC,7,981.2,100,0,14,-3.4,-3.4,37892,314,3.9,2.7
2016,2,3,03:00,UTC,8,981.4,100,0,14,-3.5,-3.5,33773,314,3.5,2.4
2016,2,3,04:00,UTC,8,981.6,100,0,14,-4,-4,31320,0,0,0
2016,2,3,05:00,UTC,8,982.1,100,0,14,-4.3,-4.3,27967,250,1.7,1.1
2016,2,3,06:00,UTC,8,982.3,100,0,14,-4.4,-4.4,17298,242,2.6,2.2
2016,2,3,07:00,UTC,8,983,100,0,14,-4.3,-4.3,28423,268,3.8,2.1
2016,2,3,08:00,UTC,8,983.6,100,0,14,-4.5,-4.5,43262,271,3.6,2.4
2016,2,3,09:00,UTC,8,984.1,99,0,14,-4.2,-4.3,50000,271,4.9,3.3
2016,2,3,10:00,UTC,8,984.7,98,0,14,-4.2,-4.5,47574,307,5.1,3.7
2016,2,3,11:00,UTC,8,985,98,0,14,-4.5,-4.8,50000,319,5.2,3.9
2016,2,3,12:00,UTC,8,985.7,98,0,14,-5.1,-5.4,47610,322,3.5,2.7
2016,2,3,13:00,UTC,8,986.5,98,0,14,-5.4,-5.7,47120,320,3.4,2.6
2016,2,3,14:00,UTC,8,987.2,98,0,14,-5.8,-6.1,49504,278,4.1,2.7
2016,2,3,15:00,UTC,8,988,97,0,13,-5.7,-6.1,50000,257,2.2,1.5
2016,2,3,16:00,UTC,8,988.4,97,0,13,-6,-6.4,50000,298,2.6,1.7
2016,2,3,17:00,UTC,8,988.8,98,0,13,-6,-6.3,50000,261,4,2.6
2016,2,3,18:00,UTC,8,989.1,99,0,13,-6,-6.1,39620,261,4.6,3.3
2016,2,3,19:00,UTC,8,989.4,99,0,13,-5.7,-5.8,33349,244,6.2,3.8
2016,2,3,20:00,UTC,8,989.8,97,0,13,-5.8,-6.1,50000,192,1.8,1
2016,2,3,21:00,UTC,7,990.2,97,0,13,-6.3,-6.7,50000,200,1.5,1.2
2016,2,3,22:00,UTC,0,990.2,99,0,13,-8,-8.2,35926,191,3,2.2
2016,2,3,23:00,UTC,1,990.5,98,0,13,-9.5,-9.8,47533,219,2.5,1.9
2016,2,4,00:00,UTC,3,990.5,92,0,13,-14.8,-15.8,387,201,2.1,1.4
2016,2,4,01:00,UTC,9,990.5,91,0,13,-15.7,-16.8,506,212,2.4,1.6
2016,2,4,02:00,UTC,7,990.3,92,0,13,-15.1,-16.2,936,212,3,2.4
2016,2,4,03:00,UTC,8,989.8,100,0,13,-6.4,-6.4,42004,217,5.1,3.5
2016,2,4,04:00,UTC,8,989.7,100,0,13,-4.4,-4.4,50000,225,5.1,3.3
2016,2,4,05:00,UTC,8,989.7,100,0,13,-4.7,-4.7,44861,213,4.9,3.1
2016,2,4,06:00,UTC,7,989.5,100,0,13,-5,-5,48910,,,
2016,2,4,07:00,UTC,7,989.8,99,0,13,-6,-6.1,44883,216,3.5,2.5
2016,2,4,08:00,UTC,6,990,100,0,13,-5.5,-5.5,31436,218,3.9,2.8
2016,2,4,09:00,UTC,0,990.2,98,0,12,-4.7,-5,27918,214,4.2,2.5
2016,2,4,10:00,UTC,0,990.2,98,0,12,-4.5,-4.8,43631,218,3.7,2.8
2016,2,4,11:00,UTC,0,990.2,94,0,12,-3,-3.9,35051,205,3.9,3
2016,2,4,12:00,UTC,7,990.2,95,0,13,-2.8,-3.5,49586,197,3.3,2.4
2016,2,4,13:00,UTC,7,990.5,97,0,13,-2.5,-2.9,48582,217,3.4,2.6
2016,2,4,14:00,UTC,8,990.5,98,0,13,-2.3,-2.6,50000,245,2.5,1.8
2016,2,4,15:00,UTC,7,990.6,97,0,13,-2.3,-2.8,37304,247,4.9,3.6
2016,2,4,16:00,UTC,8,991.1,99,1.3,13,-2.7,-2.8,917,254,4,2.9
2016,2,4,17:00,UTC,8,991.6,99,0,12,-2.8,-2.9,23685,289,3.9,2.6
2016,2,4,18:00,UTC,8,991.9,99,0,13,-2.9,-3,6331,307,3.2,2.3
2016,2,4,19:00,UTC,8,992.5,98,0,13,-3.1,-3.3,45624,333,6.7,5
2016,2,4,20:00,UTC,8,993.2,96,0,13,-4.2,-4.6,45123,328,5.6,4.2
2016,2,4,21:00,UTC,8,994.1,99,0,13,-4.6,-4.7,5315,329,7.1,5.4
2016,2,4,22:00,UTC,8,995,99,0,13,-5.6,-5.8,5044,315,7.7,5.9
2016,2,4,23:00,UTC,8,995.8,98,0,13,-6.2,-6.5,26279,303,5.5,3.7
2016,2,5,00:00,UTC,8,996.3,98,0,13,-6,-6.2,19635,309,4.1,2.9
2016,2,5,01:00,UTC,8,996.9,97,0,13,-5.6,-6,26509,333,5.3,3.7
2016,2,5,02:00,UTC,4,997.9,94,0,13,-7.1,-7.9,50000,346,6.2,4.8
2016,2,5,03:00,UTC,5,998.8,95,0,13,-8.6,-9.2,50000,342,4.1,3.2
2016,2,5,04:00,UTC,8,999.3,96,0,13,-9.4,-10,21742,339,2,1.7
2016,2,5,05:00,UTC,7,999.9,97,0,13,-8.2,-8.7,4507,318,1.9,1.3
2016,2,5,06:00,UTC,8,1000.7,96,0,13,-7.8,-8.3,18296,330,2.5,1.6
2016,2,5,07:00,UTC,8,1001.4,97,0,13,-7.2,-7.6,5826,305,3.2,2.3
2016,2,5,08:00,UTC,8,1002.3,98,0,13,-6.5,-6.7,8743,309,3.7,2.8
2016,2,5,09:00,UTC,8,1003.3,96,0,13,-5.6,-6.2,45049,323,5.1,3.8
2016,2,5,10:00,UTC,8,1003.9,92,0,13,-5.5,-6.5,5576,319,4.9,3.3
2016,2,5,11:00,UTC,8,1004.5,89,0,13,-5.5,-7.1,41938,310,7,4.9
2016,2,5,12:00,UTC,8,1005.3,88,0,13,-5.7,-7.3,31408,314,6.4,4.6
2016,2,5,13:00,UTC,8,1006.1,90,0,13,-6.2,-7.5,22276,306,5.6,3.7
2016,2,5,14:00,UTC,8,1006.9,91,0,13,-6.3,-7.5,39065,298,4.4,3.1
2016,2,5,15:00,UTC,8,1007.4,93,0,13,-6.7,-7.6,48310,277,3.7,2.3
2016,2,5,16:00,UTC,8,1008.1,94,0,13,-7,-7.8,50000,262,3.9,2.6
2016,2,5,17:00,UTC,8,1008.5,95,0,13,-7.1,-7.8,50000,240,3.3,2.5
2016,2,5,18:00,UTC,8,1009,95,0,13,-7.1,-7.8,50000,229,3.3,2.3
2016,2,5,19:00,UTC,8,1009.6,95,0,13,-7.4,-8,50000,230,3.6,2.7
2016,2,5,20:00,UTC,7,1009.7,96,0,13,-8.1,-8.7,50000,235,3.2,2.2
2016,2,5,21:00,UTC,0,1010.1,97,0,13,-10.2,-10.6,50000,225,2.1,1.7
2016,2,5,22:00,UTC,0,1010.7,95,0,13,-11.8,-12.4,50000,176,1.6,1.1
2016,2,5,23:00,UTC,0,1011.1,92,0,13,-15.2,-16.2,621,0,0,0
2016,2,6,00:00,UTC,4,1011.4,92,0,13,-15.7,-16.7,7458,0,0,0
2016,2,6,01:00,UTC,7,1011.3,94,0,14,-14.1,-14.9,32607,65,1.3,0.6
2016,2,6,02:00,UTC,4,1011.2,94,0,13,-12.9,-13.6,48471,111,1.2,0.8
2016,2,6,03:00,UTC,0,1010.9,94,0,13,-13,-13.8,50000,128,0.9,0.6
2016,2,6,04:00,UTC,2,1010.4,94,0,13,-13.2,-13.9,50000,164,1.8,0.6
2016,2,6,05:00,UTC,5,1010,94,0,13,-12.9,-13.6,49105,142,3.6,2
2016,2,6,06:00,UTC,7,1009.6,97,0,13,-9.3,-9.7,50000,153,5.3,3.5
2016,2,6,07:00,UTC,7,1009.3,96,0,13,-8.2,-8.6,50000,151,5.1,3.5
2016,2,6,08:00,UTC,8,1008.9,97,0,13,-6.9,-7.3,30407,140,3.6,2.6
2016,2,6,09:00,UTC,8,1008.4,95,0,14,-5.8,-6.4,6032,159,7.7,4.8
2016,2,6,10:00,UTC,8,1007.6,96,0.7,14,-5,-5.6,3247,155,7.5,5.4
2016,2,6,11:00,UTC,8,1006.1,94,0.5,14,-4.1,-5,10804,146,8.4,5.9
2016,2,6,12:00,UTC,8,1004.8,98,0.7,14,-3.7,-4,707,148,9.8,6
2016,2,6,13:00,UTC,8,1003.2,99,1.3,17,-3.2,-3.3,672,155,10.3,6.8
2016,2,6,14:00,UTC,8,1002,100,0.7,18,-2.9,-2.9,835,156,9,5.8
2016,2,6,15:00,UTC,8,1000.9,99,0.5,19,-2.2,-2.3,2466,160,11.3,6.9
2016,2,6,16:00,UTC,8,999.8,99,0,18,-1.9,-2,10974,158,7.9,5.6
2016,2,6,17:00,UTC,8,998.8,100,0,18,-1.1,-1.2,50000,159,8.3,5.6
2016,2,6,18:00,UTC,8,998.2,100,0,18,0,0,11553,173,10.1,6.7
2016,2,6,19:00,UTC,8,997.5,100,0,18,0.2,0.2,4519,176,9.7,7.1
2016,2,6,20:00,UTC,8,997,100,0,18,1,1,15065,185,10.8,8
2016,2,6,21:00,UTC,8,996.7,100,0,18,1.3,1.3,42045,184,11.6,8.4
2016,2,6,22:00,UTC,8,996.4,100,0,18,1.6,1.5,43236,189,9.8,7.4
2016,2,6,23:00,UTC,8,996.5,100,0,18,1.8,1.8,5400,201,10.8,6.9
2016,2,7,00:00,UTC,8,996.2,100,0,17,2,2,9878,201,8,6.2
2016,2,7,01:00,UTC,8,996.4,100,0,17,2.1,2.1,14701,204,7.4,5.1
2016,2,7,02:00,UTC,8,997.1,100,0,16,2.1,2.1,8691,217,7.1,4.9
2016,2,7,03:00,UTC,8,997.6,100,0,16,2,2,22123,217,5,3.5
2016,2,7,04:00,UTC,8,997.6,100,0,15,1.8,1.8,32350,212,6.7,4.9
2016,2,7,05:00,UTC,8,997.8,100,0,15,1.5,1.5,22560,208,7.1,5
2016,2,7,06:00,UTC,8,997.8,100,0,15,1.4,1.4,5214,206,6.5,3.8
2016,2,7,07:00,UTC,8,998,100,0,14,1.9,1.9,18227,208,6.4,4.5
2016,2,7,08:00,UTC,8,997.9,100,0,14,2.3,2.3,26770,204,8,5.4
2016,2,7,09:00,UTC,8,997.6,100,1.4,14,2.2,2.1,15081,184,6.2,4.2
2016,2,7,10:00,UTC,8,997.3,100,0.7,14,2.1,2.1,15212,175,7.1,4.4
2016,2,7,11:00,UTC,8,996.5,100,0,14,2.1,2,8811,168,6.4,4.8
2016,2,7,12:00,UTC,8,995.6,100,0,13,2.9,2.9,26885,186,10.1,7.1
2016,2,7,13:00,UTC,8,995.5,99,0,13,3.3,3.1,16931,202,11.2,7.6
2016,2,7,14:00,UTC,8,995.3,99,0,13,3,2.9,14991,195,9.6,7.1
2016,2,7,15:00,UTC,8,995.1,99,0,13,3.1,2.9,11100,201,9,6.2
2016,2,7,16:00,UTC,8,994.7,98,0,13,3.2,3,9141,191,9.7,7.3
2016,2,7,17:00,UTC,7,994.5,97,0,12,3.3,2.8,9876,189,9.1,5.9
2016,2,7,18:00,UTC,8,994.2,95,0,12,3.7,2.9,10920,182,7.3,5.4
2016,2,7,19:00,UTC,8,993.7,94,0,11,3.7,2.8,11147,186,8.8,6.3
2016,2,7,20:00,UTC,8,993.3,95,0,10,3.7,3,10153,191,9.9,7
2016,2,7,21:00,UTC,8,992.8,95,0,10,3.5,2.8,9917,185,11.5,8.2
2016,2,7,22:00,UTC,8,992.8,94,0,9,3.4,2.5,12345,188,10.6,7.4
2016,2,7,23:00,UTC,8,992.4,93,0,9,3.2,2.1,13622,190,11.5,8.1
2016,2,8,00:00,UTC,7,991.5,93,0,9,3.1,2,11399,189,10.4,7.6
2016,2,8,01:00,UTC,8,990.7,93,0,9,3.1,2.1,10493,176,10,7.3
2016,2,8,02:00,UTC,8,990.2,94,0,8,3.2,2.3,9581,178,10.2,7.6
2016,2,8,03:00,UTC,7,990.1,94,0,8,3.3,2.4,10456,184,12.8,9
2016,2,8,04:00,UTC,8,989.8,95,0,7,3.1,2.4,8749,178,11,8.1
2016,2,8,05:00,UTC,8,990,95,0,6,3.3,2.5,11974,189,10.6,7.6
2016,2,8,06:00,UTC,8,989.3,94,0,7,3.4,2.5,14589,183,10.6,7.6
